"RprtDt","StateCd","NDISDsbltyGrpNm","ICDDsbltyNm","Primary","Reported","Secondary"
2023-03-31,"ACT","Psychosocial disability","F11 - Alcohol dependency","<11","<11","<11"
2023-03-31,"ACT","Psychosocial disability","F19 - Other substance dependency","<11","<11","<11"
2023-03-31,"ACT","Psychosocial disability","F20 - Schizophrenia","652","714","62"
2023-03-31,"ACT","Psychosocial disability","F25.9 - Schizoaffective Disorder","42","46","4"
2023-03-31,"ACT","Psychosocial disability","F31 - Bipolar affective disorder","136","209","73"
2023-03-31,"ACT","Psychosocial disability","F32 - Major depressive illness","58","190","132"
2023-03-31,"ACT","Psychosocial disability","F41 - Other Anxiety disorders","24","343","319"
2023-03-31,"ACT","Psychosocial disability","F42 - Obsessive-compulsive disorder","<11","49","39-49"
2023-03-31,"ACT","Psychosocial disability","F43 - Post traumatic stress disorder (PTSD)","29","68","39"
2023-03-31,"ACT","Psychosocial disability","F60.3 - Borderline personality disorder","38","79","41"
2023-03-31,"ACT","Psychosocial disability","F95.2 - Tourette syndrome","<11","<11","<11"
2023-03-31,"ACT","Psychosocial disability","F99 - Other psychosocial disorders","161","468","307"
2023-03-31,"ACT","Psychosocial disability","R63 - Anorexia","<11","<11","<11"
2023-03-31,"All","Psychosocial disability","All","60864","130472","69608"
2023-03-31,"All","Psychosocial disability","F11 - Alcohol dependency","17","470","453"
2023-03-31,"All","Psychosocial disability","F19 - Other substance dependency","<11","560","550-560"
2023-03-31,"All","Psychosocial disability","F20 - Schizophrenia","30403","35279","4876"
2023-03-31,"All","Psychosocial disability","F25.9 - Schizoaffective Disorder","3033","3458","425"
2023-03-31,"All","Psychosocial disability","F31 - Bipolar affective disorder","5872","10020","4148"
2023-03-31,"All","Psychosocial disability","F32 - Major depressive illness","5255","15198","9943"
2023-03-31,"All","Psychosocial disability","F41 - Other Anxiety disorders","1836","27351","25515"
2023-03-31,"All","Psychosocial disability","F42 - Obsessive-compulsive disorder","299","2835","2536"
2023-03-31,"All","Psychosocial disability","F43 - Post traumatic stress disorder (PTSD)","2768","6255","3487"
2023-03-31,"All","Psychosocial disability","F60.3 - Borderline personality disorder","2410","5159","2749"
2023-03-31,"All","Psychosocial disability","F95.2 - Tourette syndrome","31","240","209"
2023-03-31,"All","Psychosocial disability","F99 - Other psychosocial disorders","8918","23548","14630"
2023-03-31,"All","Psychosocial disability","R63 - Anorexia","21","99","78"
2023-03-31,"NSW","Psychosocial disability","F11 - Alcohol dependency","<11","179","169-179"
2023-03-31,"NSW","Psychosocial disability","F19 - Other substance dependency","<11","209","199-209"
2023-03-31,"NSW","Psychosocial disability","F20 - Schizophrenia","10184","11764","1580"
2023-03-31,"NSW","Psychosocial disability","F25.9 - Schizoaffective Disorder","897","1026","129"
2023-03-31,"NSW","Psychosocial disability","F31 - Bipolar affective disorder","1763","3154","1391"
2023-03-31,"NSW","Psychosocial disability","F32 - Major depressive illness","1324","4153","2829"
2023-03-31,"NSW","Psychosocial disability","F41 - Other Anxiety disorders","530","8959","8429"
2023-03-31,"NSW","Psychosocial disability","F42 - Obsessive-compulsive disorder","92","1015","923"
2023-03-31,"NSW","Psychosocial disability","F43 - Post traumatic stress disorder (PTSD)","730","1740","1010"
2023-03-31,"NSW","Psychosocial disability","F60.3 - Borderline personality disorder","553","1259","706"
2023-03-31,"NSW","Psychosocial disability","F95.2 - Tourette syndrome","<11","88","78-88"
2023-03-31,"NSW","Psychosocial disability","F99 - Other psychosocial disorders","1940","6461","4521"
2023-03-31,"NSW","Psychosocial disability","R63 - Anorexia","<11","33","23-33"
2023-03-31,"NT","Psychosocial disability","F11 - Alcohol dependency","<11","<11","<11"
2023-03-31,"NT","Psychosocial disability","F19 - Other substance dependency","<11","13","3-13"
2023-03-31,"NT","Psychosocial disability","F20 - Schizophrenia","408","467","59"
2023-03-31,"NT","Psychosocial disability","F25.9 - Schizoaffective Disorder","28","29","1"
