ReportDt,StateCd,RsdsInSrvcDstrctNm,LGANm2020,PrtcpntCnt
31MAR2023,ACT,ACT,Unincorporated ACT,10059
31MAR2023,ACT,Other,Other,<11
31MAR2023,MIS,Other,Other,<11
31MAR2023,NSW,Central Coast,Central Coast (C) (NSW),10014
31MAR2023,NSW,Far West,Balranald (A),56
31MAR2023,NSW,Far West,Broken Hill (C),570
31MAR2023,NSW,Far West,Central Darling (A),43
31MAR2023,NSW,Far West,Wentworth (A),178
31MAR2023,NSW,Hunter New England,Armidale Regional (A),736
31MAR2023,NSW,Hunter New England,Cessnock (C),2280
31MAR2023,NSW,Hunter New England,Dungog (A),251
31MAR2023,NSW,Hunter New England,Glen Innes Severn (A),202
31MAR2023,NSW,Hunter New England,Gunnedah (A),318
31MAR2023,NSW,Hunter New England,Gwydir (A),88
31MAR2023,NSW,Hunter New England,Inverell (A),500
31MAR2023,NSW,Hunter New England,Lake Macquarie (C),6847
31MAR2023,NSW,Hunter New England,Liverpool Plains (A),192
31MAR2023,NSW,Hunter New England,Maitland (C),3817
31MAR2023,NSW,Hunter New England,Mid-Coast (A),2668
31MAR2023,NSW,Hunter New England,Moree Plains (A),269
31MAR2023,NSW,Hunter New England,Muswellbrook (A),516
31MAR2023,NSW,Hunter New England,Narrabri (A),276
31MAR2023,NSW,Hunter New England,Newcastle (C),5397
31MAR2023,NSW,Hunter New England,Port Stephens (A),2249
31MAR2023,NSW,Hunter New England,Singleton (A),670
31MAR2023,NSW,Hunter New England,Tamworth Regional (A),1867
31MAR2023,NSW,Hunter New England,Tenterfield (A),136
31MAR2023,NSW,Hunter New England,Upper Hunter Shire (A),271
31MAR2023,NSW,Hunter New England,Uralla (A),147
31MAR2023,NSW,Hunter New England,Walcha (A),40
31MAR2023,NSW,Illawarra Shoalhaven,Kiama (A),322
31MAR2023,NSW,Illawarra Shoalhaven,Shellharbour (C),2008
31MAR2023,NSW,Illawarra Shoalhaven,Shoalhaven (C),2877
31MAR2023,NSW,Illawarra Shoalhaven,Wollongong (C),5074
31MAR2023,NSW,Mid North Coast,Bellingen (A),334
31MAR2023,NSW,Mid North Coast,Coffs Harbour (C),2176
31MAR2023,NSW,Mid North Coast,Kempsey (A),1236
31MAR2023,NSW,Mid North Coast,Nambucca Valley (A),634
31MAR2023,NSW,Mid North Coast,Port Macquarie-Hastings (A),2953
31MAR2023,NSW,Murrumbidgee,Albury (C),1926
31MAR2023,NSW,Murrumbidgee,Berrigan (A),181
