RprtDt,StateCd,MMMCd_2015,AvgAnlsdCmtdSuppBdgt,PrtcpntCnt
31-Mar-23,ALL,ALL,"75,000.00",54201
31-Mar-23,ACT,ALL,"69,000.00",1017
31-Mar-23,NSW,ALL,"80,000.00",19346
31-Mar-23,NT,ALL,"99,000.00",346
31-Mar-23,OT,ALL,"78,000.00",14
31-Mar-23,QLD,ALL,"74,000.00",6722
31-Mar-23,SA,ALL,"68,000.00",3676
31-Mar-23,TAS,ALL,"80,000.00",363
31-Mar-23,VIC,ALL,"71,000.00",18603
31-Mar-23,WA,ALL,"76,000.00",4114
31-Mar-23,ALL,MM,,<11
31-Mar-23,ALL,MM1,"75,000.00",49436
31-Mar-23,ALL,MM2,"79,000.00",2306
31-Mar-23,ALL,MM3,"73,000.00",1133
31-Mar-23,ALL,MM4,"78,000.00",515
31-Mar-23,ALL,MM5,"71,000.00",646
31-Mar-23,ALL,MM6,"86,000.00",162
31-Mar-23,ACT,MM1,"69,000.00",1015
31-Mar-23,ACT,MM2,,<11
31-Mar-23,NSW,MM,,<11
31-Mar-23,NSW,MM1,"80,000.00",18261
31-Mar-23,NSW,MM2,"80,000.00",151
31-Mar-23,NSW,MM3,"77,000.00",570
31-Mar-23,NSW,MM4,"76,000.00",177
31-Mar-23,NSW,MM5,"66,000.00",179
31-Mar-23,NSW,MM6,,<11
31-Mar-23,NT,MM2,"98,000.00",273
31-Mar-23,NT,MM5,,<11
31-Mar-23,NT,MM6,"101,000.00",72
31-Mar-23,OT,MM6,"78,000.00",14
31-Mar-23,QLD,MM1,"73,000.00",5398
31-Mar-23,QLD,MM2,"81,000.00",972
31-Mar-23,QLD,MM3,"64,000.00",84
31-Mar-23,QLD,MM4,"65,000.00",117
31-Mar-23,QLD,MM5,"85,000.00",132
31-Mar-23,QLD,MM6,"79,000.00",19
31-Mar-23,SA,MM1,"68,000.00",3457
31-Mar-23,SA,MM2,"109,000.00",30
31-Mar-23,SA,MM3,"63,000.00",88
31-Mar-23,SA,MM4,"38,000.00",30
31-Mar-23,SA,MM5,"76,000.00",58
31-Mar-23,SA,MM6,"105,000.00",13
31-Mar-23,TAS,MM2,"79,000.00",303
31-Mar-23,TAS,MM3,"64,000.00",28
31-Mar-23,TAS,MM5,"108,000.00",30
31-Mar-23,TAS,MM6,,<11
31-Mar-23,VIC,MM1,"71,000.00",17431
31-Mar-23,VIC,MM2,"61,000.00",505
31-Mar-23,VIC,MM3,"72,000.00",296
31-Mar-23,VIC,MM4,"99,000.00",177
31-Mar-23,VIC,MM5,"56,000.00",192
31-Mar-23,VIC,MM6,,<11
31-Mar-23,WA,MM,,<11
31-Mar-23,WA,MM1,"76,000.00",3874
31-Mar-23,WA,MM2,"102,000.00",70
31-Mar-23,WA,MM3,"66,000.00",67
31-Mar-23,WA,MM4,"43,000.00",14
31-Mar-23,WA,MM5,"82,000.00",54
31-Mar-23,WA,MM6,"67,000.00",34
31-Dec-22,ALL,ALL,"74,000.00",52521
31-Dec-22,ACT,ALL,"70,000.00",993
31-Dec-22,NSW,ALL,"78,000.00",18793
31-Dec-22,NT,ALL,"101,000.00",340
31-Dec-22,OT,ALL,"87,000.00",15
31-Dec-22,QLD,ALL,"74,000.00",6475
31-Dec-22,SA,ALL,"67,000.00",3579
31-Dec-22,TAS,ALL,"79,000.00",390
31-Dec-22,VIC,ALL,"70,000.00",17932
31-Dec-22,WA,ALL,"75,000.00",4004
31-Dec-22,ALL,MM,,<11
31-Dec-22,ALL,MM1,"74,000.00",47864
31-Dec-22,ALL,MM2,"80,000.00",2261
31-Dec-22,ALL,MM3,"71,000.00",1109
31-Dec-22,ALL,MM4,"77,000.00",493
31-Dec-22,ALL,MM5,"67,000.00",628
31-Dec-22,ALL,MM6,"88,000.00",164
31-Dec-22,ACT,MM1,"70,000.00",991
31-Dec-22,ACT,MM2,,<11
31-Dec-22,NSW,MM,,<11
31-Dec-22,NSW,MM1,"79,000.00",17741
31-Dec-22,NSW,MM2,"80,000.00",146
31-Dec-22,NSW,MM3,"75,000.00",560
31-Dec-22,NSW,MM4,"77,000.00",166
31-Dec-22,NSW,MM5,"62,000.00",172
31-Dec-22,NSW,MM6,,<11
31-Dec-22,NT,MM2,"100,000.00",269
31-Dec-22,NT,MM5,,<11
31-Dec-22,NT,MM6,"107,000.00",70
31-Dec-22,OT,MM6,"87,000.00",15
31-Dec-22,QLD,MM1,"73,000.00",5188
31-Dec-22,QLD,MM2,"81,000.00",946
31-Dec-22,QLD,MM3,"65,000.00",77
31-Dec-22,QLD,MM4,"60,000.00",117
31-Dec-22,QLD,MM5,"79,000.00",126
31-Dec-22,QLD,MM6,"79,000.00",21
31-Dec-22,SA,MM1,"66,000.00",3363
31-Dec-22,SA,MM2,"98,000.00",26
31-Dec-22,SA,MM3,"68,000.00",87
31-Dec-22,SA,MM4,"42,000.00",30
31-Dec-22,SA,MM5,"77,000.00",58
31-Dec-22,SA,MM6,"97,000.00",15
31-Dec-22,TAS,MM2,"80,000.00",320
31-Dec-22,TAS,MM3,"66,000.00",33
31-Dec-22,TAS,MM5,"85,000.00",35
31-Dec-22,TAS,MM6,,<11
31-Dec-22,VIC,MM1,"70,000.00",16807
31-Dec-22,VIC,MM2,"60,000.00",485
31-Dec-22,VIC,MM3,"69,000.00",287
31-Dec-22,VIC,MM4,"96,000.00",168
31-Dec-22,VIC,MM5,"57,000.00",183
31-Dec-22,VIC,MM6,,<11
31-Dec-22,WA,MM1,"75,000.00",3774
31-Dec-22,WA,MM2,"105,000.00",67
31-Dec-22,WA,MM3,"63,000.00",65
31-Dec-22,WA,MM4,"43,000.00",12
31-Dec-22,WA,MM5,"70,000.00",53
31-Dec-22,WA,MM6,"66,000.00",33
30-Sep-22,ALL,ALL,"72,000.00",50968
30-Sep-22,ACT,ALL,"68,000.00",986
30-Sep-22,NSW,ALL,"76,000.00",18213
30-Sep-22,NT,ALL,"104,000.00",329
30-Sep-22,OT,ALL,"87,000.00",15
30-Sep-22,QLD,ALL,"73,000.00",6284
30-Sep-22,SA,ALL,"65,000.00",3482
30-Sep-22,TAS,ALL,"76,000.00",388
30-Sep-22,VIC,ALL,"68,000.00",17386
30-Sep-22,WA,ALL,"72,000.00",3885
30-Sep-22,ALL,MM,,<11
30-Sep-22,ALL,MM1,"72,000.00",46430
30-Sep-22,ALL,MM2,"78,000.00",2200
30-Sep-22,ALL,MM3,"70,000.00",1088
30-Sep-22,ALL,MM4,"77,000.00",478
30-Sep-22,ALL,MM5,"65,000.00",605
30-Sep-22,ALL,MM6,"87,000.00",166
30-Sep-22,ACT,MM1,"68,000.00",979
30-Sep-22,ACT,MM2,,<11
30-Sep-22,NSW,MM,,<11
30-Sep-22,NSW,MM1,"77,000.00",17190
30-Sep-22,NSW,MM2,"83,000.00",148
30-Sep-22,NSW,MM3,"74,000.00",558
30-Sep-22,NSW,MM4,"75,000.00",159
30-Sep-22,NSW,MM5,"58,000.00",165
30-Sep-22,NSW,MM6,,<11
30-Sep-22,NT,MM2,"102,000.00",261
30-Sep-22,NT,MM5,,<11
