RprtDt,StateCd,MMMCd_2015,AvgAnlsdCmtdSuppBdgt,PrtcpntCnt
31-Mar-23,ACT,ALL,"63,000.00",455
31-Mar-23,ACT,MM1,"63,000.00",454
31-Mar-23,ACT,MM2,,<11
31-Mar-23,ALL,ALL,"75,000.00",44689
31-Mar-23,ALL,MM,,<11
31-Mar-23,ALL,MM1,"73,000.00",19887
31-Mar-23,ALL,MM2,"88,000.00",7162
31-Mar-23,ALL,MM3,"66,000.00",5978
31-Mar-23,ALL,MM4,"58,000.00",3231
31-Mar-23,ALL,MM5,"53,000.00",3961
31-Mar-23,ALL,MM6 & 7,"105,000.00",4465
31-Mar-23,MIS,ALL,,<11
31-Mar-23,MIS,MM,,<11
31-Mar-23,NSW,ALL,"63,000.00",15016
31-Mar-23,NSW,MM1,"68,000.00",7349
31-Mar-23,NSW,MM2,"63,000.00",423
31-Mar-23,NSW,MM3,"67,000.00",3560
31-Mar-23,NSW,MM4,"53,000.00",1667
31-Mar-23,NSW,MM5,"49,000.00",1697
31-Mar-23,NSW,MM6 & 7,"56,000.00",320
31-Mar-23,NT,ALL,"150,000.00",2789
31-Mar-23,NT,MM,,<11
31-Mar-23,NT,MM2,"154,000.00",1012
31-Mar-23,NT,MM5,"33,000.00",21
31-Mar-23,NT,MM6 & 7,"148,000.00",1755
31-Mar-23,OT,ALL,,<11
31-Mar-23,OT,MM6 & 7,,<11
31-Mar-23,QLD,ALL,"72,000.00",12705
31-Mar-23,QLD,MM1,"67,000.00",5176
31-Mar-23,QLD,MM2,"85,000.00",4099
31-Mar-23,QLD,MM3,"51,000.00",543
31-Mar-23,QLD,MM4,"67,000.00",787
31-Mar-23,QLD,MM5,"60,000.00",1141
31-Mar-23,QLD,MM6 & 7,"66,000.00",959
31-Mar-23,SA,ALL,"79,000.00",3215
31-Mar-23,SA,MM,,<11
31-Mar-23,SA,MM1,"87,000.00",2085
31-Mar-23,SA,MM2,"66,000.00",42
31-Mar-23,SA,MM3,"59,000.00",298
31-Mar-23,SA,MM4,"76,000.00",230
31-Mar-23,SA,MM5,"51,000.00",295
31-Mar-23,SA,MM6 & 7,"69,000.00",264
31-Mar-23,TAS,ALL,"68,000.00",1248
31-Mar-23,TAS,MM2,"68,000.00",705
31-Mar-23,TAS,MM3,"80,000.00",298
31-Mar-23,TAS,MM4,,<11
31-Mar-23,TAS,MM5,"53,000.00",217
31-Mar-23,TAS,MM6 & 7,"51,000.00",22
31-Mar-23,VIC,ALL,"60,000.00",5242
31-Mar-23,VIC,MM,,<11
31-Mar-23,VIC,MM1,"66,000.00",2757
31-Mar-23,VIC,MM2,"52,000.00",700
31-Mar-23,VIC,MM3,"58,000.00",855
31-Mar-23,VIC,MM4,"56,000.00",505
31-Mar-23,VIC,MM5,"46,000.00",420
31-Mar-23,VIC,MM6 & 7,,<11
31-Mar-23,WA,ALL,"95,000.00",4017
31-Mar-23,WA,MM,,<11
31-Mar-23,WA,MM1,"102,000.00",2066
31-Mar-23,WA,MM2,"79,000.00",180
31-Mar-23,WA,MM3,"88,000.00",424
31-Mar-23,WA,MM4,"47,000.00",36
31-Mar-23,WA,MM5,"60,000.00",170
31-Mar-23,WA,MM6 & 7,"95,000.00",1140
31-Dec-22,ACT,ALL,"61,000.00",435
31-Dec-22,ACT,MM1,"61,000.00",434
31-Dec-22,ACT,MM2,,<11
31-Dec-22,ALL,ALL,"74,000.00",42679
31-Dec-22,ALL,MM,,<11
31-Dec-22,ALL,MM1,"72,000.00",18871
31-Dec-22,ALL,MM2,"88,000.00",6838
31-Dec-22,ALL,MM3,"65,000.00",5686
31-Dec-22,ALL,MM4,"57,000.00",3144
31-Dec-22,ALL,MM5,"52,000.00",3782
31-Dec-22,ALL,MM6 & 7,"105,000.00",4350
31-Dec-22,MIS,ALL,,<11
31-Dec-22,MIS,MM,,<11
31-Dec-22,NSW,ALL,"63,000.00",14326
31-Dec-22,NSW,MM,,<11
31-Dec-22,NSW,MM1,"67,000.00",7001
31-Dec-22,NSW,MM2,"64,000.00",387
31-Dec-22,NSW,MM3,"66,000.00",3372
31-Dec-22,NSW,MM4,"51,000.00",1621
31-Dec-22,NSW,MM5,"48,000.00",1619
31-Dec-22,NSW,MM6 & 7,"53,000.00",324
31-Dec-22,NT,ALL,"152,000.00",2713
31-Dec-22,NT,MM,,<11
31-Dec-22,NT,MM2,"155,000.00",965
31-Dec-22,NT,MM5,"36,000.00",19
31-Dec-22,NT,MM6 & 7,"151,000.00",1726
31-Dec-22,OT,ALL,,<11
31-Dec-22,OT,MM6 & 7,,<11
31-Dec-22,QLD,ALL,"71,000.00",12073
31-Dec-22,QLD,MM1,"67,000.00",4862
31-Dec-22,QLD,MM2,"85,000.00",3909
31-Dec-22,QLD,MM3,"50,000.00",506
31-Dec-22,QLD,MM4,"65,000.00",784
31-Dec-22,QLD,MM5,"60,000.00",1079
31-Dec-22,QLD,MM6 & 7,"64,000.00",933
31-Dec-22,SA,ALL,"78,000.00",3065
31-Dec-22,SA,MM1,"86,000.00",1991
31-Dec-22,SA,MM2,"78,000.00",42
31-Dec-22,SA,MM3,"58,000.00",281
31-Dec-22,SA,MM4,"71,000.00",213
31-Dec-22,SA,MM5,"49,000.00",283
31-Dec-22,SA,MM6 & 7,"74,000.00",255
31-Dec-22,TAS,ALL,"67,000.00",1218
31-Dec-22,TAS,MM2,"67,000.00",689
31-Dec-22,TAS,MM3,"79,000.00",292
31-Dec-22,TAS,MM4,,<11
31-Dec-22,TAS,MM5,"53,000.00",211
31-Dec-22,TAS,MM6 & 7,"52,000.00",21
31-Dec-22,VIC,ALL,"59,000.00",4997
31-Dec-22,VIC,MM1,"65,000.00",2604
31-Dec-22,VIC,MM2,"51,000.00",676
31-Dec-22,VIC,MM3,"57,000.00",826
31-Dec-22,VIC,MM4,"56,000.00",486
31-Dec-22,VIC,MM5,"47,000.00",401
31-Dec-22,VIC,MM6 & 7,,<11
31-Dec-22,WA,ALL,"92,000.00",3850
31-Dec-22,WA,MM,,<11
31-Dec-22,WA,MM1,"98,000.00",1979
31-Dec-22,WA,MM2,"74,000.00",169
31-Dec-22,WA,MM3,"84,000.00",409
31-Dec-22,WA,MM4,"48,000.00",35
31-Dec-22,WA,MM5,"59,000.00",170
31-Dec-22,WA,MM6 & 7,"93,000.00",1086
30-Sep-22,ACT,ALL,"60,000.00",426
30-Sep-22,ACT,MM1,"60,000.00",420
30-Sep-22,ACT,MM2,,<11
30-Sep-22,ALL,ALL,"72,000.00",40842
30-Sep-22,ALL,MM,,<11
30-Sep-22,ALL,MM1,"70,000.00",18013
30-Sep-22,ALL,MM2,"86,000.00",6521
30-Sep-22,ALL,MM3,"64,000.00",5455
30-Sep-22,ALL,MM4,"56,000.00",3007
30-Sep-22,ALL,MM5,"51,000.00",3606
30-Sep-22,ALL,MM6 & 7,"101,000.00",4231
30-Sep-22,NSW,ALL,"62,000.00",13657
30-Sep-22,NSW,MM,,<11
30-Sep-22,NSW,MM1,"66,000.00",6659
30-Sep-22,NSW,MM2,"65,000.00",382
30-Sep-22,NSW,MM3,"65,000.00",3226
30-Sep-22,NSW,MM4,"51,000.00",1549
30-Sep-22,NSW,MM5,"48,000.00",1548
