"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aus Gov","Aust"
"13A.1","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian; State and Territory governments' expenditure on mental health services","Real expenditure","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","6951.9","3990.4","10942.3"
"13A.1","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian; State and Territory governments' expenditure on mental health services","Real expenditure per person","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","","","","","","","","","270.56","155.30","425.86"
"13A.1","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","","Australian; State and Territory governments' expenditure on mental health services","Proportion of expenditure","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","63.5","36.5","100.0"
"13A.1","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian; State and Territory governments' expenditure on mental health services","Real expenditure","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","6711.5","3928.5","10640.0"
"13A.1","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian; State and Territory governments' expenditure on mental health services","Real expenditure per person","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","","","","","","","","","262.97","153.93","416.89"
"13A.1","2019-20","Funding of services for mental health","All ages","All people","All people","All areas","","Australian; State and Territory governments' expenditure on mental health services","Proportion of expenditure","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","63.1","36.9","100.0"
"13A.1","2018-19","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian; State and Territory governments' expenditure on mental health services","Real expenditure","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","6657.4","3773.8","10431.2"
"13A.1","2018-19","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian; State and Territory governments' expenditure on mental health services","Real expenditure per person","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","","","","","","","","","264.39","149.87","414.26"
"13A.1","2018-19","Funding of services for mental health","All ages","All people","All people","All areas","","Australian; State and Territory governments' expenditure on mental health services","Proportion of expenditure","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","63.8","36.2","100.0"
"13A.1","2017-18","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian; State and Territory governments' expenditure on mental health services","Real expenditure","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","6433.0","3610.8","10043.8"
"13A.1","2017-18","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian; State and Territory governments' expenditure on mental health services","Real expenditure per person","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","","","","","","","","","259.70","145.77","405.47"
"13A.1","2017-18","Funding of services for mental health","All ages","All people","All people","All areas","","Australian; State and Territory governments' expenditure on mental health services","Proportion of expenditure","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","64.0","36.0","100.0"
"13A.1","2016-17","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian; State and Territory governments' expenditure on mental health services","Real expenditure","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","6191.1","3522.3","9713.5"
"13A.1","2016-17","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian; State and Territory governments' expenditure on mental health services","Real expenditure per person","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","","","","","","","","","253.88","144.44","398.33"
"13A.1","2016-17","Funding of services for mental health","All ages","All people","All people","All areas","","Australian; State and Territory governments' expenditure on mental health services","Proportion of expenditure","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","63.7","36.3","100.0"
"13A.1","2015-16","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian; State and Territory governments' expenditure on mental health services","Real expenditure","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","5971.0","3511.8","9482.8"
"13A.1","2015-16","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian; State and Territory governments' expenditure on mental health services","Real expenditure per person","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","","","","","","","","","248.95","146.42","395.37"
"13A.1","2015-16","Funding of services for mental health","All ages","All people","All people","All areas","","Australian; State and Territory governments' expenditure on mental health services","Proportion of expenditure","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","63.0","37.0","100.0"
"13A.1","2014-15","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian; State and Territory governments' expenditure on mental health services","Real expenditure","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","5783.0","3474.7","9257.7"
"13A.1","2014-15","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian; State and Territory governments' expenditure on mental health services","Real expenditure per person","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","","","","","","","","","244.63","146.98","391.61"
"13A.1","2014-15","Funding of services for mental health","All ages","All people","All people","All areas","","Australian; State and Territory governments' expenditure on mental health services","Proportion of expenditure","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","62.5","37.5","100.0"
"13A.1","2013-14","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian; State and Territory governments' expenditure on mental health services","Real expenditure","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","5611.1","3462.1","9073.2"
"13A.1","2013-14","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian; State and Territory governments' expenditure on mental health services","Real expenditure per person","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","","","","","","","","","240.84","148.60","389.44"
"13A.1","2013-14","Funding of services for mental health","All ages","All people","All people","All areas","","Australian; State and Territory governments' expenditure on mental health services","Proportion of expenditure","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","61.8","38.2","100.0"
"13A.1","2012-13","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian; State and Territory governments' expenditure on mental health services","Real expenditure","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","5430.8","3345.6","8776.5"
"13A.1","2012-13","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian; State and Territory governments' expenditure on mental health services","Real expenditure per person","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","","","","","","","","","236.86","145.92","382.78"
"13A.1","2012-13","Funding of services for mental health","All ages","All people","All people","All areas","","Australian; State and Territory governments' expenditure on mental health services","Proportion of expenditure","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","61.9","38.1","100.0"
"13A.1","2011-12","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian; State and Territory governments' expenditure on mental health services","Real expenditure","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","5459.4","3205.8","8665.2"
"13A.1","2011-12","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian; State and Territory governments' expenditure on mental health services","Real expenditure per person","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","","","","","","","","","242.40","142.34","384.74"
"13A.1","2011-12","Funding of services for mental health","All ages","All people","All people","All areas","","Australian; State and Territory governments' expenditure on mental health services","Proportion of expenditure","","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); AIHW (unpublished) Mental Health Establishments National Minimum Data Set; ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","%","","","","","","","","","63.0","37.0","100.0"
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","Mental health specific payments to states and territories","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","19.1",""
"13A.2","2020-21","Funding of services for mental health","All ages","All people","All people","All areas","2020-21 dollars","Australian Government expenditure on mental health services","Real estimated expenditure","National programs and initiative (Department of Health and Aged Care managed)","","","","","Derived from Australian Government Department of Health and Aged Care (unpublished); ABS (unpublished) Australian National Accounts: National Income Expenditure and Product","$m","","","","","","","","","","979.1",""
